No.,Entidad Federativa,Razón Social,Tipo de Instalación,Folio del Certificado de Cumplimiento,Vigencia,Ubicación
1,Chiapas,"A.C. LA LAJA, S.A. DE C.V.",Centro de acopio,UBC01 07109076/2016,06/05/2022,"Boulevard Elmar Setzer Marselle S/N, esq. Calle del Azufre, Barrio Belém, Yajalón, Chiapas."
2,Puebla,"AGROINDUSTRIAS DIAMANSOL, S.A. DE C.V.",Industrializadora,UBC01 21174147/2017,30/11/2022,"Callejón La Escondida No. 4, Col. Aire Libre, Teziutlán, Puebla, C.P. 73960"
3,Veracruz,"AGROINDUSTRIAS UNIDAS DE MÉXICO, S.A. DE C.V.",Beneficio Seco,UBC01 30044146/2017,03/12/2022,"Prol. De Av. 3 No. 4303, Col. San Cayetano, C.P. 94690, Córdova, Ver."
4,Veracruz,"AGROINDUSTRIAS UNIDAS DE MÉXICO, S.A. DE C.V.",Beneficio Seco,UBC01 30065009/2020,17/02/2023,"Carr. Xalapa - Veracruz Km. 12.5, Loc. Dos Ríos, C.P. 91640, Emiliano Zapata, Veracruz."
5,Chiapas,"BENEFICIO BAJEREQUE NORTE, S.A. DE C.V.",Beneficio seco,UBC01 07089011/2021,30/07/2022,"Calle Cedros Bodega No. 32, Fracc. Industrial Los Mangos, C.P. 30798, Tapachula, Chiapas."
6,Chiapas,"CAFÉ SAN ENRIQUE, S.A. DE C.V.",Centro de acopio,UBC01 07034001/2020,13/04/2022,"Calle 4a Norte esquina con 2da. Poniente S/N, Barrio Guadalupe, C.P. 30140, Frontera Comalapa, Chiapas."
7,Chiapas,"CAFÉS DE ALTURA DE COMALAPA, S.A. DE C.V.",Centro de acopio,UBC01 07034009/2021,21/06/2022,"Carretera Comalapa-Motozintla km. 1, Barrio Sahop, Frontera Comalapa, Chiapas."
8,Veracruz,"CAFÉS ESPECIALES BAMBA, S. DE R.L. DE C.V.",Industrializadora,UBC01 30038004/2021,14/04/2022,"Camino a las Lomas No. 1000, Pacho Viejo, C.P. 91602, Coatepec, Veracruz."
9,Chiapas,"CAFETALERA ZETA, S.A. DE C.V.",Centro de acopio,UBC01 07006016/2021,30/11/2022,"Comitán S/N, Col. El Potrerillo, Amatenango de la Frontera, Chiapas."
10,Chiapas,"CAFETALERA ZETA, S.A. DE C.V.",Beneficio Seco,UBC01 30044132/2017,30/11/2022,"Km. 291, Autopista Córdoba - Orizaba, Junto a Infonavit El Trebol, Códoba, Veracruz, C.P. 94542"
11,Chiapas,"CAFETALEROS DE AMATENANGO, S. DE P.R. DE R.I.",Centro de acopio,UBC01 07006007/2019,06/05/2022,"Calle Catazajá, Loc. El Potrerillo, C.P. 30941, Amatenango de la Frontera, Chiapas."
